timestamp,num_satellites,latitude,longitude,altitude,latitude_sigma,longitude_sigma,altitude_sigma,northing,easting,down,utm_zone
1447151576413534,9,51.760604,-1.261258,67.648264,2.003686,1.463482,5.716077,5735842.749087,619996.977611,-67.648264,30U
1447151576613804,9,51.760604,-1.261258,67.613188,2.003680,1.463550,5.716402,5735842.746983,619996.978075,-67.613188,30U
1447151576813535,9,51.760604,-1.261258,67.612796,2.003679,1.463635,5.716842,5735842.754087,619996.976440,-67.612796,30U
1447151577013542,9,51.760604,-1.261258,67.637650,2.003647,1.463686,5.717247,5735842.759033,619996.969527,-67.637650,30U
1447151577213632,9,51.760604,-1.261258,67.625144,2.003649,1.463741,5.717421,5735842.763524,619996.966066,-67.625144,30U
1447151577413516,9,51.760604,-1.261258,67.637155,2.003674,1.463827,5.717769,5735842.762437,619996.965169,-67.637155,30U
1447151577613682,9,51.760604,-1.261258,67.634022,2.003667,1.463895,5.718094,5735842.764015,619996.961701,-67.634022,30U
1447151577813949,9,51.760604,-1.261258,67.597889,2.003675,1.463990,5.718404,5735842.759795,619996.958245,-67.597889,30U
1447151578013654,9,51.760604,-1.261258,67.590946,2.003604,1.464052,5.718905,5735842.758108,619996.956018,-67.590946,30U
1447151578213491,9,51.760604,-1.261258,67.587484,2.003619,1.464068,5.718935,5735842.753194,619996.953478,-67.587484,30U
1447151578413412,9,51.760604,-1.261258,67.566711,2.003631,1.464220,5.719688,5735842.752279,619996.950961,-67.566711,30U
1447151578613616,9,51.760604,-1.261258,67.577559,2.003624,1.464288,5.720013,5735842.753510,619996.950574,-67.577559,30U
1447151578813880,9,51.760604,-1.261258,67.576598,2.003662,1.464349,5.720052,5735842.747708,619996.939663,-67.576598,30U
1447151579013535,9,51.760604,-1.261258,67.570052,2.003670,1.464450,5.720656,5735842.738567,619996.943486,-67.570052,30U
1447151579213518,9,51.760604,-1.261258,67.555579,2.003630,1.464518,5.721047,5735842.736924,619996.947287,-67.555579,30U
1447151579413512,9,51.760604,-1.261258,67.542540,2.003609,1.464595,5.721415,5735842.732012,619996.940571,-67.542540,30U
1447151579613773,9,51.760604,-1.261258,67.539376,2.003634,1.464637,5.721555,5735842.722652,619996.939356,-67.539376,30U
1447151579813620,9,51.760604,-1.261259,67.526654,2.003618,1.464726,5.721917,5735842.722153,619996.936576,-67.526654,30U
1447151580013550,9,51.760604,-1.261259,67.527464,2.003643,1.464844,5.722497,5735842.727481,619996.932656,-67.527464,30U
1447151580213454,9,51.760604,-1.261259,67.557870,2.003579,1.464845,5.722574,5735842.729281,619996.929840,-67.557870,30U
1447151580413467,9,51.760604,-1.261259,67.555988,2.003563,1.464923,5.723002,5735842.734155,619996.929409,-67.555988,30U
1447151580613453,9,51.760604,-1.261259,67.552501,2.003587,1.465000,5.723321,5735842.726877,619996.931414,-67.552501,30U
1447151580813676,9,51.760604,-1.261259,67.541385,2.003572,1.465038,5.723617,5735842.730099,619996.925160,-67.541385,30U
1447151581013547,9,51.760604,-1.261259,67.561903,2.003506,1.465038,5.723582,5735842.732197,619996.928250,-67.561903,30U
1447151581213515,9,51.760604,-1.261259,67.525540,2.003499,1.465143,5.724022,5735842.735402,619996.923082,-67.525540,30U
1447151581413506,9,51.760604,-1.261259,67.517214,2.003529,1.465268,5.724643,5735842.732967,619996.919664,-67.517214,30U
1447151581613493,9,51.760604,-1.261259,67.533593,2.003523,1.465335,5.724968,5735842.730722,619996.917763,-67.533593,30U
1447151581813747,9,51.760604,-1.261259,67.552250,2.003589,1.465451,5.725311,5735842.732768,619996.915459,-67.552250,30U
1447151582013475,9,51.760604,-1.261259,67.551598,2.003489,1.465450,5.725578,5735842.739249,619996.913438,-67.551598,30U
1447151582213444,9,51.760604,-1.261259,67.545063,2.003492,1.465495,5.725845,5735842.738387,619996.907338,-67.545063,30U
1447151582413381,9,51.760604,-1.261259,67.544472,2.003471,1.465571,5.726136,5735842.746071,619996.903631,-67.544472,30U
1447151582613441,9,51.760604,-1.261259,67.538725,2.003464,1.465639,5.726460,5735842.744451,619996.898098,-67.538725,30U
1447151582813692,9,51.760604,-1.261259,67.544817,2.003527,1.465764,5.727045,5735842.749894,619996.889188,-67.544817,30U
1447151583013421,9,51.760604,-1.261259,67.559704,2.003524,1.465840,5.727346,5735842.753644,619996.887812,-67.559704,30U
1447151583213505,9,51.760604,-1.261259,67.564670,2.003483,1.465907,5.727660,5735842.753371,619996.889846,-67.564670,30U
1447151583413632,9,51.760604,-1.261259,67.570837,2.003440,1.465950,5.727974,5735842.757910,619996.889193,-67.570837,30U
1447151583613477,9,51.760604,-1.261259,67.560518,2.003434,1.466018,5.728300,5735842.758014,619996.887184,-67.560518,30U
1447151583813591,9,51.760604,-1.261259,67.583776,2.003440,1.466103,5.728708,5735842.761501,619996.887095,-67.583776,30U
1447151584013602,9,51.760604,-1.261259,67.564389,2.003434,1.466169,5.729007,5735842.771834,619996.884698,-67.564389,30U
1447151584213435,9,51.760604,-1.261259,67.569243,2.003419,1.466227,5.729187,5735842.768159,619996.876488,-67.569243,30U
1447151584413371,9,51.760604,-1.261259,67.540022,2.003366,1.466290,5.729639,5735842.773656,619996.875651,-67.540022,30U
1447151584613409,9,51.760604,-1.261259,67.552810,2.003360,1.466358,5.729963,5735842.780960,619996.876862,-67.552810,30U
1447151584813527,9,51.760604,-1.261259,67.543428,2.003429,1.466480,5.730359,5735842.767757,619996.872454,-67.543428,30U
1447151585013772,9,51.760604,-1.261259,67.569311,2.003328,1.466425,5.730256,5735842.776703,619996.877197,-67.569311,30U
1447151585213867,9,51.760604,-1.261259,67.546923,2.003403,1.466576,5.730930,5735842.766915,619996.869564,-67.546923,30U
1447151585413428,9,51.760604,-1.261259,67.544811,2.003380,1.466653,5.731264,5735842.761176,619996.867999,-67.544811,30U
1447151585613671,9,51.760604,-1.261259,67.530165,2.003374,1.466721,5.731588,5735842.761019,619996.872286,-67.530165,30U
1447151585813914,9,51.760604,-1.261259,67.549275,2.003343,1.466810,5.732141,5735842.770877,619996.874016,-67.549275,30U
1447151586013727,9,51.760604,-1.261259,67.543992,2.003347,1.466894,5.732458,5735842.772966,619996.871182,-67.543992,30U
1447151586213880,9,51.760604,-1.261259,67.535760,2.003321,1.466955,5.732865,5735842.766699,619996.867020,-67.535760,30U
1447151586413832,9,51.760604,-1.261260,67.522578,2.003325,1.466973,5.732850,5735842.764370,619996.863481,-67.522578,30U
1447151586613696,9,51.760604,-1.261260,67.485626,2.003330,1.467073,5.733259,5735842.763959,619996.866586,-67.485626,30U
1447151586813886,9,51.760604,-1.261260,67.487093,2.003349,1.467133,5.733603,5735842.763707,619996.864841,-67.487093,30U
1447151587013299,9,51.760604,-1.261260,67.460242,2.003392,1.467205,5.733883,5735842.765020,619996.865945,-67.460242,30U
1447151587213538,9,51.760604,-1.261260,67.487631,2.003335,1.467317,5.734247,5735842.770835,619996.866090,-67.487631,30U
