timestamp,num_satellites,latitude,longitude,altitude,latitude_sigma,longitude_sigma,altitude_sigma,northing,easting,down,utm_zone
1447410492933477,8,51.760580,-1.261241,59.529205,2.045375,1.648573,6.334435,5735840.069141,619998.234054,-59.529205,30U
1447410493133470,8,51.760580,-1.261241,59.524779,2.045365,1.648673,6.334733,5735840.072455,619998.227464,-59.524779,30U
1447410493333464,8,51.760580,-1.261241,59.524630,2.045329,1.648754,6.335001,5735840.068984,619998.223273,-59.524630,30U
1447410493533579,8,51.760580,-1.261241,59.499018,2.045356,1.648892,6.335386,5735840.068264,619998.225092,-59.499018,30U
1447410493733560,8,51.760580,-1.261241,59.496710,2.045322,1.648997,6.335756,5735840.071465,619998.223921,-59.496710,30U
1447410493933563,8,51.760580,-1.261241,59.484358,2.045373,1.649131,6.336097,5735840.071180,619998.222883,-59.484358,30U
1447410494133615,8,51.760580,-1.261241,59.484771,2.045363,1.649231,6.336394,5735840.069119,619998.224594,-59.484771,30U
1447410494333484,8,51.760580,-1.261241,59.466391,2.045413,1.649359,6.336765,5735840.065045,619998.223414,-59.466391,30U
1447410494533861,8,51.760580,-1.261241,59.456709,2.045393,1.649449,6.336997,5735840.072573,619998.227229,-59.456709,30U
1447410494733965,8,51.760580,-1.261241,59.444268,2.045341,1.649529,6.337265,5735840.073133,619998.223697,-59.444268,30U
1447410494933699,8,51.760580,-1.261241,59.449450,2.045399,1.649690,6.337619,5735840.077445,619998.222727,-59.449450,30U
1447410495133904,8,51.760580,-1.261241,59.442353,2.045372,1.649781,6.337931,5735840.083363,619998.223561,-59.442353,30U
1447410495333835,8,51.760580,-1.261241,59.454535,2.045364,1.649912,6.338366,5735840.076882,619998.232253,-59.454535,30U
1447410495533947,8,51.760580,-1.261241,59.422836,2.045336,1.649982,6.338614,5735840.075662,619998.230555,-59.422836,30U
1447410495733960,8,51.760580,-1.261241,59.439045,2.045339,1.650068,6.338839,5735840.072220,619998.230475,-59.439045,30U
1447410495933912,8,51.760580,-1.261241,59.423070,2.045296,1.650141,6.339104,5735840.066835,619998.220522,-59.423070,30U
1447410496133965,8,51.760580,-1.261241,59.409178,2.045285,1.650241,6.339401,5735840.069548,619998.220928,-59.409178,30U
1447410496334001,8,51.760580,-1.261241,59.412231,2.045310,1.650355,6.339718,5735840.066758,619998.220585,-59.412231,30U
1447410496534000,8,51.760580,-1.261241,59.421004,2.045294,1.650456,6.339999,5735840.070792,619998.224620,-59.421004,30U
1447410496734056,8,51.760580,-1.261241,59.411955,2.045312,1.650615,6.340424,5735840.074022,619998.219677,-59.411955,30U
1447410496933842,8,51.760580,-1.261241,59.439317,2.045292,1.650689,6.340714,5735840.075128,619998.220787,-59.439317,30U
1447410497134124,8,51.760580,-1.261241,59.420981,2.045295,1.650781,6.340947,5735840.067564,619998.219961,-59.420981,30U
1447410497333892,8,51.760580,-1.261241,59.442587,2.045310,1.650901,6.341254,5735840.067660,619998.221263,-59.442587,30U
1447410497533920,8,51.760580,-1.261241,59.472114,2.045284,1.650985,6.341502,5735840.065487,619998.221616,-59.472114,30U
1447410497734026,8,51.760580,-1.261241,59.473714,2.045273,1.651044,6.341728,5735840.060223,619998.223081,-59.473714,30U
1447410497933891,8,51.760580,-1.261241,59.478942,2.045218,1.651130,6.342023,5735840.062245,619998.223522,-59.478942,30U
1447410498134150,8,51.760580,-1.261241,59.467552,2.045208,1.651230,6.342320,5735840.064167,619998.220987,-59.467552,30U
1447410498333890,8,51.760580,-1.261241,59.480314,2.045243,1.651371,6.342690,5735840.067236,619998.217202,-59.480314,30U
1447410498533917,8,51.760580,-1.261241,59.482375,2.045262,1.651471,6.343019,5735840.070564,619998.211527,-59.482375,30U
1447410498734110,8,51.760580,-1.261241,59.497097,2.045194,1.651553,6.343272,5735840.068064,619998.211278,-59.497097,30U
1447410498933868,8,51.760580,-1.261241,59.484431,2.045223,1.651668,6.343581,5735840.068017,619998.204451,-59.484431,30U
1447410499134021,8,51.760580,-1.261241,59.492502,2.045212,1.651768,6.343877,5735840.068589,619998.205635,-59.492502,30U
1447410499333961,8,51.760580,-1.261241,59.492461,2.045184,1.651843,6.344096,5735840.065995,619998.206689,-59.492461,30U
1447410499533825,8,51.760580,-1.261241,59.509494,2.045190,1.651901,6.344353,5735840.072444,619998.207599,-59.509494,30U
1447410499734040,8,51.760580,-1.261241,59.495415,2.045175,1.651969,6.344522,5735840.062729,619998.205217,-59.495415,30U
1447410499933803,8,51.760580,-1.261241,59.474979,2.045134,1.652081,6.344755,5735840.071059,619998.200291,-59.474979,30U
1447410500134078,8,51.760580,-1.261241,59.463039,2.045123,1.652181,6.345051,5735840.069131,619998.196335,-59.463039,30U
1447410500334031,8,51.760580,-1.261241,59.489052,2.045156,1.652320,6.345480,5735840.066694,619998.191190,-59.489052,30U
1447410500533784,8,51.760580,-1.261242,59.462957,2.045078,1.652358,6.345665,5735840.059039,619998.168672,-59.462957,30U
1447410500733983,8,51.760580,-1.261242,59.466036,2.045048,1.652382,6.345881,5735840.059958,619998.148572,-59.466036,30U
1447410500933822,8,51.760580,-1.261242,59.475209,2.045040,1.652339,6.345580,5735840.058092,619998.119638,-59.475209,30U
1447410501134024,8,51.760580,-1.261243,59.468957,2.045030,1.652439,6.345876,5735840.037839,619998.079226,-59.468957,30U
1447410501333855,8,51.760580,-1.261244,59.458116,2.044979,1.652719,6.346678,5735840.034282,619998.028944,-59.458116,30U
1447410501533577,8,51.760579,-1.261244,59.420263,2.044820,1.652825,6.347187,5735840.024966,619997.972478,-59.420263,30U
1447410501733921,8,51.760579,-1.261245,59.469420,2.044876,1.652888,6.347355,5735840.015413,619997.924618,-59.469420,30U
1447410501933822,8,51.760579,-1.261246,59.469980,2.044970,1.653090,6.348107,5735840.000990,619997.874380,-59.469980,30U
1447410502134153,8,51.760579,-1.261247,59.450967,2.044960,1.653190,6.348403,5735840.003201,619997.808536,-59.450967,30U
1447410502334049,8,51.760579,-1.261248,59.437777,2.045407,1.653669,6.348792,5735839.984946,619997.742669,-59.437777,30U
1447410502533461,8,51.760579,-1.261249,59.425381,2.045484,1.653609,6.348828,5735839.991414,619997.678125,-59.425381,30U
1447410502733688,8,51.760579,-1.261250,59.475410,2.045304,1.653574,6.349215,5735839.992721,619997.615585,-59.475410,30U
1447410502933771,8,51.760579,-1.261251,59.432013,2.045117,1.653630,6.349413,5735839.982135,619997.538328,-59.432013,30U
1447410503133758,8,51.760579,-1.261252,59.434473,2.045106,1.653731,6.349709,5735839.976107,619997.461387,-59.434473,30U
1447410503333956,8,51.760579,-1.261253,59.446170,2.045007,1.653950,6.350164,5735839.974114,619997.369665,-59.446170,30U
1447410503533736,8,51.760579,-1.261255,59.477070,2.044881,1.653982,6.350388,5735839.956610,619997.276811,-59.477070,30U
1447410503733932,8,51.760579,-1.261256,59.493335,2.044823,1.654111,6.350714,5735839.947748,619997.180198,-59.493335,30U
