[-0.16763312  0.98434844  0.05438094 33.2703656 ],[ -0.98525081  -0.1691983    0.02554968 -13.27320597],[ 0.03435095 -0.04929589  0.99819333 -2.43239795],[0. 0. 0. 1.]
[-0.5285064   0.84663556  0.06236351 31.84710964],[-8.48579707e-01 -5.28969415e-01 -1.01901126e-02 -1.51382509e+01],[ 0.02436108 -0.05830594  0.99800148 -2.43150059],[0. 0. 0. 1.]
[-0.75545131  0.6495805   0.08566505 30.06417965],[ -0.65329725  -0.75675548  -0.02288757 -16.37167653],[ 0.04996017 -0.07325519  0.99606107 -2.41910274],[0. 0. 0. 1.]
[-0.86559411  0.491585    0.09534682 28.02612037],[ -0.49587531  -0.86798567  -0.02661878 -17.38179965],[ 0.06967428 -0.07032119  0.99508815 -2.35891156],[0. 0. 0. 1.]
[-0.90861254  0.40335789  0.10828515 25.98378631],[ -0.40839711  -0.91236542  -0.02830436 -18.19781214],[ 0.08737884 -0.06994104  0.99371686 -2.27510807],[0. 0. 0. 1.]
[-0.93008517  0.35139704  0.10705935 24.08983096],[ -0.35727606  -0.93308903  -0.04121495 -18.8488228 ],[ 0.0854131  -0.07658316  0.99339802 -2.19670277],[0. 0. 0. 1.]
[-0.94179581  0.31715617  0.11150163 22.06277664],[ -0.32283424  -0.94574239  -0.03673403 -19.50614374],[ 0.09380139 -0.0705925   0.99308509 -2.11071522],[0. 0. 0. 1.]
[-0.94648883  0.30151396  0.11510096 19.97428413],[ -0.30792743  -0.95046842  -0.042314   -20.13509705],[ 0.09664157 -0.07549247  0.99245216 -2.01384565],[0. 0. 0. 1.]
[-0.94523215  0.30154655  0.12492343 17.92308759],[ -0.30839277  -0.95045089  -0.03920463 -20.77740148],[ 0.10691156 -0.07558296  0.99139151 -1.90909002],[0. 0. 0. 1.]
[-0.94759859  0.2982017   0.11459778 15.93021891],[ -0.30447254  -0.95162168  -0.04138425 -21.3917775 ],[ 0.09671288 -0.07410754  0.99254959 -1.82796612],[0. 0. 0. 1.]
[-0.95100655  0.28527348  0.11918714 13.96618744],[ -0.29123996  -0.95598391  -0.03569393 -21.97136365],[ 0.10375846 -0.06865722  0.99223    -1.73508924],[0. 0. 0. 1.]
[-0.95428993  0.27442176  0.11842053 12.01924632],[ -0.28120421  -0.95860876  -0.04464797 -22.50422215],[ 0.10126658 -0.07590746  0.99195924 -1.63993266],[0. 0. 0. 1.]
[-0.95590375  0.26829605  0.11943718 10.02136744],[ -0.27529631  -0.96024512  -0.04627366 -23.05013057],[ 0.10227393 -0.07711378  0.99176283 -1.5370162 ],[0. 0. 0. 1.]
[-0.95557401  0.26985999  0.11854909  7.98075641],[ -0.27657732  -0.95997836  -0.04411964 -23.62026509],[ 0.10189843 -0.07494757  0.99196753 -1.43364752],[0. 0. 0. 1.]
[-0.9555209   0.27005298  0.11853775  5.88053956],[ -0.27677219  -0.95992136  -0.04413766 -24.20436785],[ 0.10186742 -0.07498241  0.99196808 -1.32713124],[0. 0. 0. 1.]
[-0.95517103  0.27031722  0.12073487  3.77636035],[ -0.27716555  -0.9598252   -0.0437589  -24.79160004],[ 0.10405559 -0.07526078  0.99171984 -1.21869124],[0. 0. 0. 1.]
